Tm,Season,W,L,T,win_percent,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Playoffs
TB,2011,4,12,0,0.25,287,494,-207,-12.9,2.3,-10.6,-4,-6.6,0
SF,2011,13,3,0,0.813,380,229,151,9.4,-1.1,8.3,1.7,6.6,1
ARI,2011,8,8,0,0.5,312,348,-36,-2.3,0,-2.2,-1.7,-0.5,0
SEA,2011,7,9,0,0.438,321,315,6,0.4,0.4,0.8,-0.5,1.3,0
LAR,2011,2,14,0,0.125,193,407,-214,-13.4,2.9,-10.4,-8.4,-2.1,0
NE,2010,14,2,0,0.875,518,313,205,12.8,2.6,15.4,12.6,2.8,1
NYJ,2010,11,5,0,0.688,367,304,63,3.9,2.5,6.5,2.2,4.2,1
MIA,2010,7,9,0,0.438,273,333,-60,-3.8,4.1,0.3,-2.8,3.1,0
BUF,2010,4,12,0,0.25,283,425,-142,-8.9,4.3,-4.6,-1.5,-3.1,0
PIT,2010,12,4,0,0.75,375,232,143,8.9,1.3,10.2,2.5,7.7,1
BAL,2010,12,4,0,0.75,357,270,87,5.4,1,6.4,0.9,5.5,1
CLE,2010,5,11,0,0.313,271,332,-61,-3.8,2.3,-1.5,-3.4,2,0
CIN,2010,4,12,0,0.25,322,395,-73,-4.6,3.1,-1.4,0.4,-1.9,0
IND,2010,10,6,0,0.625,435,388,47,2.9,-0.1,2.9,3.7,-0.9,1
JAX,2010,8,8,0,0.5,353,419,-66,-4.1,-0.4,-4.5,-1.2,-3.3,0
HOU,2010,6,10,0,0.375,390,427,-37,-2.3,0.5,-1.8,1.8,-3.7,0
TEN,2010,6,10,0,0.375,356,339,17,1.1,0,1,-0.9,1.9,0
KC,2010,10,6,0,0.625,366,326,40,2.5,-3.2,-0.7,-1.5,0.8,1
LAC,2010,9,7,0,0.563,441,322,119,7.4,-2.6,4.8,3.2,1.6,0
LV,2010,8,8,0,0.5,410,371,39,2.4,-2.3,0.2,2.3,-2.2,0
DEN,2010,4,12,0,0.25,344,471,-127,-7.9,-1,-8.9,-1.1,-7.8,0
PHI,2010,10,6,0,0.625,439,377,62,3.9,0.3,4.2,5.4,-1.2,1
NYG,2010,10,6,0,0.625,394,347,47,2.9,-0.8,2.1,1.7,0.4,0
DAL,2010,6,10,0,0.375,394,436,-42,-2.6,0.5,-2.2,2.5,-4.7,0
WAS,2010,6,10,0,0.375,302,377,-75,-4.7,0.9,-3.8,-3.4,-0.5,0
CHI,2010,11,5,0,0.688,334,286,48,3,1.1,4.1,-0.6,4.7,1
GB,2010,10,6,0,0.625,388,240,148,9.3,1.7,10.9,3.1,7.9,1
DET,2010,6,10,0,0.375,362,369,-7,-0.4,2.3,1.9,2.4,-0.5,0
MIN,2010,6,10,0,0.375,281,348,-67,-4.2,2.6,-1.6,-3.3,1.7,0
ATL,2010,13,3,0,0.813,414,288,126,7.9,-1.8,6.1,3.8,2.2,1
NO,2010,11,5,0,0.688,384,307,77,4.8,-2.5,2.3,1.5,0.8,1
TB,2010,10,6,0,0.625,341,318,23,1.4,-2,-0.6,-1,0.4,0
CAR,2010,2,14,0,0.125,196,408,-212,-13.3,0.1,-13.2,-9.1,-4.1,0
SEA,2010,7,9,0,0.438,310,407,-97,-6.1,-3.4,-9.4,-3.9,-5.5,1
LAR,2010,7,9,0,0.438,289,328,-39,-2.4,-4.2,-6.7,-6.3,-0.4,0
SF,2010,6,10,0,0.375,305,346,-41,-2.6,-3.3,-5.8,-4.7,-1.1,0
ARI,2010,5,11,0,0.313,289,434,-145,-9.1,-3.6,-12.7,-5.6,-7.1,0
NE,2009,10,6,0,0.625,427,285,142,8.9,2.3,11.2,6.7,4.5,1
NYJ,2009,9,7,0,0.563,348,236,112,7,1.6,8.6,1.1,7.5,1
MIA,2009,7,9,0,0.438,360,390,-30,-1.9,3.6,1.7,2.9,-1.2,0
BUF,2009,6,10,0,0.375,258,326,-68,-4.3,2.4,-1.8,-4.5,2.7,0
CIN,2009,10,6,0,0.625,305,291,14,0.9,-0.2,0.7,-2.5,3.2,1
BAL,2009,9,7,0,0.563,391,261,130,8.1,-0.7,7.5,2.6,4.9,1
PIT,2009,9,7,0,0.563,368,324,44,2.8,-1.1,1.7,1,0.7,0
CLE,2009,5,11,0,0.313,245,375,-130,-8.1,-0.3,-8.4,-6,-2.4,0
IND,2009,14,2,0,0.875,416,307,109,6.8,-0.9,5.9,4.4,1.5,1
HOU,2009,9,7,0,0.563,388,333,55,3.4,-1.5,2,2.7,-0.7,0
TEN,2009,8,8,0,0.5,354,402,-48,-3,0.2,-2.8,0.9,-3.6,0
JAX,2009,7,9,0,0.438,290,380,-90,-5.6,-0.9,-6.5,-3.8,-2.6,0
LAC,2009,13,3,0,0.813,454,320,134,8.4,-1.7,6.6,6.4,0.2,1
DEN,2009,8,8,0,0.5,326,324,2,0.1,0.2,0.3,-1,1.3,0
LV,2009,5,11,0,0.313,197,379,-182,-11.4,1.1,-10.3,-8.7,-1.6,0
KC,2009,4,12,0,0.25,294,424,-130,-8.1,-0.3,-8.4,-2.5,-5.9,0
DAL,2009,11,5,0,0.688,361,250,111,6.9,0.2,7.1,0.4,6.7,1
PHI,2009,11,5,0,0.688,429,337,92,5.8,0.2,6,5.8,0.2,1
NYG,2009,8,8,0,0.5,402,427,-25,-1.6,1.6,0.1,4.6,-4.5,0
WAS,2009,4,12,0,0.25,266,336,-70,-4.4,-0.2,-4.6,-5.5,1,0
MIN,2009,12,4,0,0.75,470,312,158,9.9,-2.7,7.2,6.6,0.6,1
GB,2009,11,5,0,0.688,461,297,164,10.3,-2.9,7.4,6.3,1.1,1
CHI,2009,7,9,0,0.438,327,375,-48,-3,-0.9,-3.9,-1.9,-2,0
DET,2009,2,14,0,0.125,262,494,-232,-14.5,0.1,-14.4,-5.2,-9.2,0
NO,2009,13,3,0,0.813,510,341,169,10.6,0.2,10.8,11.2,-0.5,1
ATL,2009,9,7,0,0.563,363,325,38,2.4,2.7,5,2.7,2.3,0
CAR,2009,8,8,0,0.5,315,308,7,0.4,3.5,3.9,-0.6,4.5,0
TB,2009,3,13,0,0.188,244,400,-156,-9.8,4.1,-5.6,-4.6,-1.1,0
ARI,2009,10,6,0,0.625,375,325,50,3.1,-3.4,-0.3,0.1,-0.4,1
SF,2009,8,8,0,0.5,330,281,49,3.1,-3,0.1,-2.9,3,0
SEA,2009,5,11,0,0.313,280,390,-110,-6.9,-2.4,-9.3,-5,-4.4,0
LAR,2009,1,15,0,0.063,175,436,-261,-16.3,-1.1,-17.4,-11.7,-5.8,0
MIA,2008,11,5,0,0.688,345,317,28,1.8,-2.3,-0.5,-2.4,1.8,1
NE,2008,11,5,0,0.688,410,309,101,6.3,-2.4,3.9,2.3,1.6,0
NYJ,2008,9,7,0,0.563,405,356,49,3.1,-2.8,0.2,2.2,-1.9,0
BUF,2008,7,9,0,0.438,336,342,-6,-0.4,-3,-3.3,-2.8,-0.6,0
PIT,2008,12,4,0,0.75,347,223,124,7.8,2,9.8,1.6,8.2,1
BAL,2008,11,5,0,0.688,385,244,141,8.8,1,9.8,4.2,5.6,1
CIN,2008,4,11,1,0.281,204,364,-160,-10,3,-7,-6.9,-0.1,0
CLE,2008,4,12,0,0.25,232,350,-118,-7.4,2.7,-4.6,-5.2,0.6,0
TEN,2008,13,3,0,0.813,375,234,141,8.8,0.1,8.9,1.5,7.5,1
IND,2008,12,4,0,0.75,377,298,79,4.9,1.6,6.5,2.6,3.9,1
HOU,2008,8,8,0,0.5,366,394,-28,-1.8,1.4,-0.4,2.8,-3.2,0
JAX,2008,5,11,0,0.313,302,367,-65,-4.1,1.6,-2.5,-2.1,-0.4,0
LAC,2008,8,8,0,0.5,439,347,92,5.8,-0.8,5,5,0,1
DEN,2008,8,8,0,0.5,370,448,-78,-4.9,-0.9,-5.8,0.7,-6.5,0
LV,2008,5,11,0,0.313,263,388,-125,-7.8,0.3,-7.5,-6.5,-1,0
KC,2008,2,14,0,0.125,291,440,-149,-9.3,0.1,-9.2,-3.9,-5.3,0
NYG,2008,12,4,0,0.75,427,294,133,8.3,0.1,8.4,5.5,2.8,1
PHI,2008,9,6,1,0.594,416,289,127,7.9,-0.1,7.8,4.7,3.2,1
DAL,2008,9,7,0,0.563,362,365,-3,-0.2,0.8,0.6,1.7,-1.2,0
WAS,2008,8,8,0,0.5,265,296,-31,-1.9,0.2,-1.8,-5.8,4.1,0
MIN,2008,10,6,0,0.625,379,333,46,2.9,1.2,4,1.1,2.9,1
CHI,2008,9,7,0,0.563,375,350,25,1.6,0.5,2.1,1.1,1,0
GB,2008,6,10,0,0.375,419,380,39,2.4,0.5,2.9,4.1,-1.2,0
DET,2008,0,16,0,0,268,517,-249,-15.6,2.5,-13.1,-4,-9.1,0
CAR,2008,12,4,0,0.75,414,329,85,5.3,0.3,5.6,2.8,2.9,1
ATL,2008,11,5,0,0.688,391,325,66,4.1,-0.3,3.8,1.3,2.5,1
TB,2008,9,7,0,0.563,361,323,38,2.4,-0.1,2.3,-0.6,2.9,0
NO,2008,8,8,0,0.5,463,393,70,4.4,-0.3,4,6.8,-2.8,0
ARI,2008,9,7,0,0.563,427,426,1,0.1,-1.9,-1.9,4.1,-6,1
SF,2008,7,9,0,0.438,339,381,-42,-2.6,-2.7,-5.3,-2.9,-2.4,0
SEA,2008,4,12,0,0.25,294,392,-98,-6.1,-1.5,-7.6,-4.9,-2.8,0
LAR,2008,2,14,0,0.125,232,465,-233,-14.6,-0.5,-15.1,-8.1,-7,0
NE,2007,16,0,0,1,589,274,315,19.7,0.4,20.1,15.9,4.2,1
BUF,2007,7,9,0,0.438,252,354,-102,-6.4,2.3,-4.1,-5.6,1.5,0
NYJ,2007,4,12,0,0.25,268,355,-87,-5.4,1.7,-3.7,-4,0.3,0
MIA,2007,1,15,0,0.063,267,437,-170,-10.6,2.3,-8.4,-4.1,-4.2,0
PIT,2007,10,6,0,0.625,393,269,124,7.8,-2.5,5.2,0.9,4.3,1
CLE,2007,10,6,0,0.625,402,382,20,1.3,-2.3,-1.1,2.2,-3.3,0
CIN,2007,7,9,0,0.438,380,385,-5,-0.3,-2.1,-2.4,1.6,-4,0
BAL,2007,5,11,0,0.313,275,384,-109,-6.8,0.1,-6.7,-5,-1.8,0
IND,2007,13,3,0,0.813,450,262,188,11.8,0.3,12,6.6,5.4,1
JAX,2007,11,5,0,0.688,411,304,107,6.7,0.1,6.8,4.8,2,1
TEN,2007,10,6,0,0.625,301,297,4,0.3,0.5,0.7,-2.9,3.6,1
HOU,2007,8,8,0,0.5,379,384,-5,-0.3,0.3,0,2.5,-2.5,0
LAC,2007,11,5,0,0.688,412,284,128,8,0.8,8.8,4.3,4.5,1
DEN,2007,7,9,0,0.438,320,409,-89,-5.6,1.6,-3.9,-0.2,-3.8,0
KC,2007,4,12,0,0.25,226,335,-109,-6.8,1.4,-5.5,-7.4,1.9,0
LV,2007,4,12,0,0.25,283,398,-115,-7.2,1.2,-6,-3.5,-2.5,0
DAL,2007,13,3,0,0.813,455,325,130,8.1,1.3,9.5,7.8,1.7,1
NYG,2007,10,6,0,0.625,373,351,22,1.4,1.9,3.3,2.8,0.4,1
WAS,2007,9,7,0,0.563,334,310,24,1.5,3,4.5,0.2,4.3,1
PHI,2007,8,8,0,0.5,336,300,36,2.3,3,5.3,0.1,5.1,0
GB,2007,13,3,0,0.813,435,291,144,9,0,9,5.7,3.3,1
MIN,2007,8,8,0,0.5,365,311,54,3.4,0.4,3.8,1.4,2.4,0
DET,2007,7,9,0,0.438,346,444,-98,-6.1,2.6,-3.6,1.4,-5,0
CHI,2007,7,9,0,0.438,334,348,-14,-0.9,2.1,1.2,-0.2,1.4,0
TB,2007,9,7,0,0.563,334,270,64,4,-2.8,1.2,-2.3,3.6,1
CAR,2007,7,9,0,0.438,267,347,-80,-5,-0.8,-5.8,-5.7,-0.1,0
NO,2007,7,9,0,0.438,379,388,-9,-0.6,-2,-2.5,1.9,-4.5,0
ATL,2007,4,12,0,0.25,259,414,-155,-9.7,-0.9,-10.6,-5.8,-4.8,0
SEA,2007,10,6,0,0.625,393,291,102,6.4,-4.6,1.8,0.8,0.9,1
ARI,2007,8,8,0,0.5,404,399,5,0.3,-4.3,-3.9,1.9,-5.9,0
SF,2007,5,11,0,0.313,219,364,-145,-9.1,-2.9,-11.9,-9.9,-2,0
LAR,2007,3,13,0,0.188,263,438,-175,-10.9,-2,-13,-6.5,-6.5,0
NE,2006,12,4,0,0.75,385,237,148,9.3,1,10.2,4.3,5.9,1
NYJ,2006,10,6,0,0.625,316,295,21,1.3,0.7,2,0.4,1.7,1
BUF,2006,7,9,0,0.438,300,311,-11,-0.7,2.9,2.2,-0.2,2.4,0
MIA,2006,6,10,0,0.375,260,283,-23,-1.4,2.1,0.7,-3.3,4,0
BAL,2006,13,3,0,0.813,353,201,152,9.5,-0.2,9.3,1.5,7.8,1
CIN,2006,8,8,0,0.5,373,331,42,2.6,1.5,4.1,4,0,0
PIT,2006,8,8,0,0.5,353,315,38,2.4,1,3.4,3,0.4,0
CLE,2006,4,12,0,0.25,238,356,-118,-7.4,1.5,-5.8,-4.5,-1.3,0
IND,2006,12,4,0,0.75,427,360,67,4.2,1.7,5.9,6.9,-1.1,1
TEN,2006,8,8,0,0.5,324,400,-76,-4.8,3.5,-1.3,1,-2.3,0
JAX,2006,8,8,0,0.5,371,274,97,6.1,1.4,7.5,2.6,4.9,0
HOU,2006,6,10,0,0.375,267,366,-99,-6.2,1.7,-4.5,-3.2,-1.3,0
LAC,2006,14,2,0,0.875,492,303,189,11.8,-1.6,10.2,10,0.2,1
KC,2006,9,7,0,0.563,331,315,16,1,0,1,0.4,0.6,1
DEN,2006,9,7,0,0.563,319,305,14,0.9,0.4,1.3,-0.8,2.1,0
LV,2006,2,14,0,0.125,168,332,-164,-10.3,0.6,-9.6,-10.3,0.7,0
PHI,2006,10,6,0,0.625,398,328,70,4.4,-1,3.4,3.2,0.2,1
DAL,2006,9,7,0,0.563,425,350,75,4.7,-1,3.7,5,-1.3,1
NYG,2006,8,8,0,0.5,355,362,-7,-0.4,0.5,0.1,1.2,-1.1,1
WAS,2006,5,11,0,0.313,307,376,-69,-4.3,0.3,-4,-2.1,-2,0
CHI,2006,13,3,0,0.813,427,255,172,10.8,-2.9,7.9,4.9,3,1
GB,2006,8,8,0,0.5,301,366,-65,-4.1,-0.4,-4.4,-2.3,-2.1,0
MIN,2006,6,10,0,0.375,282,327,-45,-2.8,-1.3,-4.1,-3.7,-0.4,0
DET,2006,3,13,0,0.188,305,398,-93,-5.8,-0.5,-6.4,-1.8,-4.6,0
NO,2006,10,6,0,0.625,413,322,91,5.7,-1.6,4,4.9,-0.9,1
CAR,2006,8,8,0,0.5,270,305,-35,-2.2,-0.5,-2.7,-4.2,1.5,0
ATL,2006,7,9,0,0.438,292,328,-36,-2.3,-0.8,-3,-2.8,-0.2,0
TB,2006,4,12,0,0.25,211,353,-142,-8.9,0.9,-7.9,-7.2,-0.8,0
SEA,2006,9,7,0,0.563,335,341,-6,-0.4,-3.2,-3.6,-1.7,-1.9,1
LAR,2006,8,8,0,0.5,367,381,-14,-0.9,-3.1,-4,0.8,-4.7,0
SF,2006,7,9,0,0.438,298,412,-114,-7.1,-1.6,-8.7,-3.5,-5.2,0
ARI,2006,5,11,0,0.313,314,389,-75,-4.7,-2.2,-6.9,-2.6,-4.3,0
NE,2005,10,6,0,0.625,379,338,41,2.6,0.6,3.1,3.7,-0.5,1
MIA,2005,9,7,0,0.563,318,317,1,0.1,-0.8,-0.8,-1.1,0.3,0
BUF,2005,5,11,0,0.313,271,367,-96,-6,0.2,-5.8,-4,-1.8,0
NYJ,2005,4,12,0,0.25,240,355,-115,-7.2,0.8,-6.4,-5.2,-1.2,0
CIN,2005,11,5,0,0.688,421,350,71,4.4,-0.6,3.8,6.5,-2.7,1
PIT,2005,11,5,0,0.688,389,258,131,8.2,-0.4,7.8,3.8,4,1
BAL,2005,6,10,0,0.375,265,299,-34,-2.1,0.3,-1.8,-3.5,1.7,0
CLE,2005,6,10,0,0.375,232,301,-69,-4.3,0.1,-4.2,-6,1.7,0
IND,2005,14,2,0,0.875,439,247,192,12,-1.2,10.8,5.6,5.2,1
JAX,2005,12,4,0,0.75,361,269,92,5.8,-1,4.8,1.1,3.7,1
TEN,2005,4,12,0,0.25,299,421,-122,-7.6,0.1,-7.6,-2,-5.5,0
HOU,2005,2,14,0,0.125,260,431,-171,-10.7,0.7,-10,-4.4,-5.7,0
DEN,2005,13,3,0,0.813,395,258,137,8.6,2.2,10.8,5,5.8,1
KC,2005,10,6,0,0.625,403,325,78,4.9,2.1,7,5.1,1.9,0
LAC,2005,9,7,0,0.563,418,312,106,6.6,3.3,9.9,7.1,2.9,0
LV,2005,4,12,0,0.25,290,383,-93,-5.8,3,-2.8,-1.2,-1.6,0
NYG,2005,11,5,0,0.688,422,314,108,6.8,0.7,7.5,5.8,1.7,1
WAS,2005,10,6,0,0.625,359,293,66,4.1,1.9,6,2.6,3.4,1
DAL,2005,9,7,0,0.563,325,308,17,1.1,2.1,3.2,-0.1,3.2,0
PHI,2005,6,10,0,0.375,310,388,-78,-4.9,2.6,-2.3,-0.7,-1.7,0
CHI,2005,11,5,0,0.688,260,202,58,3.6,-2.2,1.4,-5.2,6.6,1
MIN,2005,9,7,0,0.563,306,344,-38,-2.4,-1.1,-3.5,-1.4,-2.1,0
DET,2005,5,11,0,0.313,254,345,-91,-5.7,-1,-6.7,-4.3,-2.4,0
GB,2005,4,12,0,0.25,298,344,-46,-2.9,-0.8,-3.7,-1.5,-2.2,0
TB,2005,11,5,0,0.688,300,274,26,1.6,-2.6,-1,-2.8,1.8,1
CAR,2005,11,5,0,0.688,391,259,132,8.3,-3.2,5.1,3,2.1,1
ATL,2005,8,8,0,0.5,351,341,10,0.6,-1.9,-1.2,1.1,-2.3,0
NO,2005,3,13,0,0.188,235,398,-163,-10.2,-0.9,-11.1,-6.2,-4.9,0
SEA,2005,13,3,0,0.813,452,271,181,11.3,-2.2,9.1,5.8,3.4,1
LAR,2005,6,10,0,0.375,363,429,-66,-4.1,-1,-5.1,1.3,-6.4,0
ARI,2005,5,11,0,0.313,311,387,-76,-4.8,-0.2,-5,-2,-3,0
SF,2005,4,12,0,0.25,239,428,-189,-11.8,0.7,-11.1,-5.6,-5.5,0
NE,2004,14,2,0,0.875,437,260,177,11.1,1.8,12.8,6.4,6.5,1
NYJ,2004,10,6,0,0.625,333,261,72,4.5,2.1,6.6,0.5,6,1
BUF,2004,9,7,0,0.563,395,284,111,6.9,1.1,8.1,4.6,3.5,0
MIA,2004,4,12,0,0.25,275,354,-79,-4.9,2.7,-2.2,-2.7,0.5,0
PIT,2004,15,1,0,0.938,372,251,121,7.6,1.4,9,3.4,5.6,1
BAL,2004,9,7,0,0.563,317,268,49,3.1,3.1,6.1,-0.6,6.8,0
CIN,2004,8,8,0,0.5,374,372,2,0.1,2.5,2.7,4.3,-1.6,0
CLE,2004,4,12,0,0.25,276,390,-114,-7.1,3.7,-3.4,-1.5,-1.9,0
IND,2004,12,4,0,0.75,522,351,171,10.7,0.7,11.4,11.7,-0.3,1
JAX,2004,9,7,0,0.563,261,280,-19,-1.2,1.9,0.8,-5.7,6.4,0
HOU,2004,7,9,0,0.438,309,339,-30,-1.9,1.2,-0.6,-2.4,1.8,0
TEN,2004,5,11,0,0.313,344,439,-95,-5.9,1.5,-4.4,0.3,-4.6,0
LAC,2004,12,4,0,0.75,446,313,133,8.3,0.8,9.1,6.1,3,1
DEN,2004,10,6,0,0.625,381,304,77,4.8,1,5.9,1.6,4.3,1
KC,2004,7,9,0,0.438,483,435,48,3,2.3,5.3,10,-4.7,0
LV,2004,5,11,0,0.313,320,442,-122,-7.6,3.4,-4.3,-0.6,-3.7,0
PHI,2004,13,3,0,0.813,386,260,126,7.9,-2.3,5.6,2,3.5,1
NYG,2004,6,10,0,0.375,303,347,-44,-2.8,-1.2,-3.9,-2.3,-1.6,0
DAL,2004,6,10,0,0.375,293,405,-112,-7,-0.8,-7.8,-3,-4.8,0
WAS,2004,6,10,0,0.375,240,265,-25,-1.6,-1.8,-3.4,-7.4,4,0
GB,2004,10,6,0,0.625,424,380,44,2.8,-2.4,0.3,4.3,-4,1
MIN,2004,8,8,0,0.5,405,395,10,0.6,-2.3,-1.7,3,-4.7,1
DET,2004,6,10,0,0.375,296,350,-54,-3.4,-1.8,-5.2,-3.8,-1.4,0
CHI,2004,5,11,0,0.313,231,331,-100,-6.3,-2,-8.2,-8.5,0.3,0
ATL,2004,11,5,0,0.688,340,337,3,0.2,-2.4,-2.2,-1.8,-0.4,1
NO,2004,8,8,0,0.5,348,405,-57,-3.6,-2,-5.6,-1.2,-4.3,0
CAR,2004,7,9,0,0.438,355,339,16,1,-1.7,-0.7,-0.8,0.1,0
TB,2004,5,11,0,0.313,301,304,-3,-0.2,-2.5,-2.7,-4,1.3,0
SEA,2004,9,7,0,0.563,371,373,-2,-0.1,-2.8,-2.9,0.4,-3.3,1
LAR,2004,8,8,0,0.5,319,392,-73,-4.6,-1.4,-6,-2.2,-3.8,1
ARI,2004,6,10,0,0.375,284,322,-38,-2.4,-2.5,-4.9,-5.1,0.2,0
SF,2004,2,14,0,0.125,259,452,-193,-12.1,-1.6,-13.6,-5.1,-8.6,0
NE,2003,14,2,0,0.875,348,238,110,6.9,0.1,6.9,2.1,4.9,1
MIA,2003,10,6,0,0.625,311,261,50,3.1,0.3,3.4,-0.7,4.1,0
BUF,2003,6,10,0,0.375,243,279,-36,-2.3,1.3,-1,-5,4,0
NYJ,2003,6,10,0,0.375,283,299,-16,-1,0.4,-0.6,-1.9,1.3,0
BAL,2003,10,6,0,0.625,391,281,110,6.9,-0.6,6.3,3.3,3,1
CIN,2003,8,8,0,0.5,346,384,-38,-2.4,0,-2.4,1.1,-3.5,0
PIT,2003,6,10,0,0.375,300,327,-27,-1.7,0.6,-1.1,-2.5,1.4,0
CLE,2003,5,11,0,0.313,254,322,-68,-4.3,1.3,-2.9,-5.3,2.4,0
IND,2003,12,4,0,0.75,447,336,111,6.9,0,7,8.2,-1.2,1
TEN,2003,12,4,0,0.75,435,324,111,6.9,-0.5,6.5,7,-0.5,1
JAX,2003,5,11,0,0.313,276,331,-55,-3.4,1,-2.4,-3.3,0.9,0
HOU,2003,5,11,0,0.313,255,380,-125,-7.8,1.9,-6,-4.4,-1.5,0
KC,2003,13,3,0,0.813,484,332,152,9.5,-1.2,8.3,9.2,-0.9,1
DEN,2003,10,6,0,0.625,381,301,80,5,0.5,5.5,2.4,3.1,1
LV,2003,4,12,0,0.25,270,379,-109,-6.8,1.3,-5.5,-4.2,-1.3,0
LAC,2003,4,12,0,0.25,313,441,-128,-8,1.2,-6.8,-0.6,-6.2,0
PHI,2003,12,4,0,0.75,374,287,87,5.4,-1,4.4,2.9,1.5,1
DAL,2003,10,6,0,0.625,289,260,29,1.8,-2.3,-0.5,-3.2,2.7,1
WAS,2003,5,11,0,0.313,287,372,-85,-5.3,-0.4,-5.7,-1.9,-3.8,0
NYG,2003,4,12,0,0.25,243,387,-144,-9,0.4,-8.6,-4.8,-3.7,0
GB,2003,10,6,0,0.625,442,307,135,8.4,-0.3,8.1,6.2,1.9,1
MIN,2003,9,7,0,0.563,416,353,63,3.9,-1,2.9,4,-1.1,0
CHI,2003,7,9,0,0.438,283,346,-63,-3.9,0.4,-3.5,-4.2,0.7,0
DET,2003,5,11,0,0.313,270,379,-109,-6.8,1,-5.8,-4.3,-1.6,0
CAR,2003,11,5,0,0.688,325,304,21,1.3,-2.2,-0.9,-1.5,0.6,1
NO,2003,8,8,0,0.5,340,326,14,0.9,-1.1,-0.3,0.1,-0.4,0
TB,2003,7,9,0,0.438,301,264,37,2.3,-0.7,1.6,-2.9,4.5,0
ATL,2003,5,11,0,0.313,299,422,-123,-7.7,0.3,-7.4,-2,-5.4,0
LAR,2003,12,4,0,0.75,447,328,119,7.4,-1.6,5.9,6,-0.2,1
SEA,2003,10,6,0,0.625,404,327,77,4.8,-0.7,4.1,3.6,0.5,1
SF,2003,7,9,0,0.438,384,337,47,2.9,0.1,3.1,3,0.1,0
ARI,2003,4,12,0,0.25,225,452,-227,-14.2,1.6,-12.6,-6.3,-6.2,0
NYJ,2002,9,7,0,0.563,359,336,23,1.4,1.7,3.2,0.9,2.3,1
NE,2002,9,7,0,0.563,381,346,35,2.2,1.8,4,2.1,1.9,0
MIA,2002,9,7,0,0.563,378,301,77,4.8,1.2,6.1,1.7,4.4,0
BUF,2002,8,8,0,0.5,379,397,-18,-1.1,0.9,-0.3,2.1,-2.3,0
PIT,2002,10,5,1,0.656,390,345,45,2.8,-0.1,2.7,3.1,-0.4,1
CLE,2002,9,7,0,0.563,344,320,24,1.5,-0.3,1.2,-0.4,1.7,1
BAL,2002,7,9,0,0.438,316,354,-38,-2.4,0.3,-2.1,-1.5,-0.6,0
CIN,2002,2,14,0,0.125,279,456,-177,-11.1,0.6,-10.5,-3.6,-6.9,0
TEN,2002,11,5,0,0.688,367,324,43,2.7,-0.9,1.8,1.6,0.1,1
IND,2002,10,6,0,0.625,349,313,36,2.3,-1.1,1.2,0.4,0.7,1
JAX,2002,6,10,0,0.375,328,315,13,0.8,-1,-0.2,-1.3,1.1,0
HOU,2002,4,12,0,0.25,213,356,-143,-8.9,-0.5,-9.4,-8.4,-1.1,0
LV,2002,11,5,0,0.688,450,304,146,9.1,1.5,10.6,6.3,4.3,1
DEN,2002,9,7,0,0.563,392,344,48,3,1.9,4.9,3,1.9,0
LAC,2002,8,8,0,0.5,333,367,-34,-2.1,1.4,-0.7,-1,0.2,0
KC,2002,8,8,0,0.5,467,399,68,4.3,1.9,6.1,8.4,-2.3,0
PHI,2002,12,4,0,0.75,415,241,174,10.9,-2.6,8.3,4.5,3.8,1
NYG,2002,10,6,0,0.625,320,279,41,2.6,-1.7,0.8,-2.2,3,1
WAS,2002,7,9,0,0.438,307,365,-58,-3.6,-0.8,-4.5,-2.2,-2.2,0
DAL,2002,5,11,0,0.313,217,329,-112,-7,-1.5,-8.5,-8.2,-0.3,0
GB,2002,12,4,0,0.75,398,328,70,4.4,-0.8,3.6,2.4,1.2,1
MIN,2002,6,10,0,0.375,390,442,-52,-3.3,0.2,-3,3.1,-6.1,0
CHI,2002,4,12,0,0.25,281,379,-98,-6.1,0.9,-5.3,-4.4,-0.9,0
DET,2002,3,13,0,0.188,306,451,-145,-9.1,-0.1,-9.2,-2.5,-6.7,0
TB,2002,12,4,0,0.75,346,196,150,9.4,-0.6,8.8,-1,9.8,1
ATL,2002,9,6,1,0.594,402,314,88,5.5,-0.4,5.1,3.5,1.5,1
NO,2002,9,7,0,0.563,432,388,44,2.8,-0.3,2.4,5.8,-3.3,0
CAR,2002,7,9,0,0.438,258,302,-44,-2.8,-0.5,-3.3,-6,2.8,0
SF,2002,10,6,0,0.625,367,351,16,1,-0.4,0.6,0.7,-0.1,1
LAR,2002,7,9,0,0.438,316,369,-53,-3.3,0,-3.3,-1.6,-1.8,0
SEA,2002,7,9,0,0.438,355,369,-14,-0.9,-0.4,-1.3,0,-1.2,0
ARI,2002,5,11,0,0.313,262,417,-155,-9.7,-0.2,-9.9,-5.4,-4.5,0
NE,2001,11,5,0,0.688,371,272,99,6.2,-1.9,4.3,1.2,3.1,1
MIA,2001,11,5,0,0.688,344,290,54,3.4,-0.7,2.7,-0.3,3.1,1
NYJ,2001,10,6,0,0.625,308,295,13,0.8,0,0.8,-2,2.8,1
IND,2001,6,10,0,0.375,413,486,-73,-4.6,0.8,-3.8,6.1,-9.8,0
BUF,2001,3,13,0,0.188,265,420,-155,-9.7,0.2,-9.5,-3.9,-5.7,0
PIT,2001,13,3,0,0.813,352,212,140,8.8,-1.4,7.4,1.5,5.8,1
